segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
10,λόγον σπείρει.  οὗτοι δέ εἰσιν οἱ παρὰ τὴν ὁδὸν ὅπου,word. These are the ones along the road where,0.0,50,"This segment is neutral. It introduces the concept of sowing the word, but without any explicit positive or negative connotations. It's a descriptive statement without inherent emotional valence."
1,"σπείρεται ὁ λόγος, καὶ ὅταν ἀκούσωσιν εὐθὺς ἔρχεται ὁ","the word is sown, and when they hear, immediately comes the",0.1,60,"This segment is relatively neutral, describing the sowing of a word and someone hearing it. There's no strong positive or negative sentiment."
2,"Σατανᾶς καὶ αἴρει τὸν λόγον τὸν ἐσπαρμένον εἰς αὐτούς.  καὶ οὗτοί εἰσιν ὁμοίως οἱ ἐπὶ τὰ πετρώδη σπειρόμενοι,","Satan and takes away the word that was sown in them. And these are likewise those sown on rocky ground,",-0.5,80,"The mention of Satan taking away the word indicates a negative influence and loss, contributing to a negative sentiment."
3,οἳ ὅταν ἀκούσωσιν τὸν λόγον εὐθὺς μετὰ χαρᾶς λαμβάνουσιν,"who, when they hear the word, immediately receive it with joy,",0.8,90,"The phrase ""with joy"" (μετὰ χαρᾶς) clearly indicates a positive sentiment."
4,"αὐτόν,  καὶ οὐκ ἔχουσιν ῥίζαν ἐν ἑαυτοῖς ἀλλὰ  πρόσκαιροί εἰσιν, εἶτα γενομένης θλίψεως ἢ διωγμοῦ διὰ","it; and they have no root in themselves, but are temporary; then, when tribulation or persecution arises because of",-0.6,85,"The mention of ""tribulation or persecution"" (θλίψεως ἢ διωγμοῦ) indicates a negative experience, contributing to a negative sentiment."
5,τὸν λόγον εὐθὺς σκανδαλίζονται.  καὶ ἄλλοι εἰσὶν οἱ εἰς,"the word, immediately they are offended. And others are those sown among",-0.4,75,"The word ""offended"" (σκανδαλίζονται) suggests a negative reaction and disappointment, contributing to a negative sentiment."
6,"τὰς ἀκάνθας σπειρόμενοι· οὗτοί εἰσιν οἱ τὸν λόγον ἀκούσαντες,  καὶ αἱ μέριμναι τοῦ αἰῶνος καὶ ἡ ἀπάτη τοῦ πλούτου","the thorns; these are the ones who hear the word, and the cares of this age, and the deceitfulness of riches,",-0.3,70,"The mention of ""cares"" (μέριμναι) and ""deceitfulness"" (ἀπάτη) suggests negative influences and anxieties, contributing to a slightly negative sentiment."
7,καὶ αἱ περὶ τὰ λοιπὰ ἐπιθυμίαι εἰσπορευόμεναι συνπνίγουσιν,and the desires for other things entering in choke,-0.5,80,"The word ""choke"" (συνπνίγουσιν) indicates suppression and a negative impact, contributing to a negative sentiment."
8,"τὸν λόγον, καὶ ἄκαρπος γίνεται.  καὶ ἐκεῖνοί εἰσιν","the word, and it becomes unfruitful. And these are",-0.4,75,"The phrase ""unfruitful"" (ἄκαρπος) suggests a lack of positive outcome and a negative result, contributing to a negative sentiment."
9,"οἱ ἐπὶ τὴν γῆν τὴν καλὴν σπαρέντες, οἵτινες ἀκούουσιν τὸν","those sown on the good ground, who hear the",0.3,65,"The phrase ""good ground"" (γῆν τὴν καλὴν) suggests a positive environment and potential for growth, contributing to a slightly positive sentiment."
10,λόγον καὶ παραδέχονται καὶ καρποφοροῦσιν ἐν τριάκοντα,word and accept it and bear fruit in thirty,0.7,85,"The phrase ""bear fruit"" (καρποφοροῦσιν) clearly indicates a positive outcome and productivity, contributing to a positive sentiment."
1,καὶ [ἐν] ἑξήκοντα καὶ [ἐν] ἑκατόν.  Καὶ ἔλεγεν,And [in] sixty and [in] a hundred. And he said,0.0,50,"This segment is a simple statement of numbers and a declaration of speech, carrying no inherent sentiment."
2,αὐτοῖς ὅτι Μήτι ἔρχεται ὁ λύχνος ἵνα ὑπὸ τὸν μόδιον,"to them, ""Is a lamp brought to be put under a basket,",-0.1,60,"This segment poses a rhetorical question about the purpose of a lamp, implying a sense of questioning or mild disapproval of misuse. The sentiment is slightly negative due to the implied criticism."
3,"τεθῇ ἢ ὑπὸ τὴν κλίνην, οὐχ ἵνα †ἐπὶ† τὴν λυχνίαν τεθῇ;  οὐ","or under a bed, and not to be put on a lampstand?""",0.1,60,"This segment continues the rhetorical question, emphasizing the proper use of a lamp. The sentiment is slightly positive as it promotes correct usage and purpose."
4,"γὰρ ἔστιν κρυπτὸν ἐὰν μὴ ἵνα φανερωθῇ, οὐδὲ ἐγένετο","For there is nothing hidden except to be revealed, nor has anything been",0.4,70,"This segment speaks of revelation and unveiling, which carries a positive connotation of discovery and truth."
5,ἀπόκρυφον ἀλλʼ ἵνα ἔλθῃ εἰς φανερόν.  Εἴ τις ἔχει ὦτα,secret but that it should come to light. If anyone has ears,0.3,70,"This segment continues the theme of revelation and encourages attentiveness, suggesting a positive message of understanding and enlightenment."
6,ἀκούειν ἀκουέτω.  Καὶ ἔλεγεν αὐτοῖς Βλέπετε,"to hear, let him hear."" And he said to them, ""Take care",0.1,60,"This segment contains a call to listen and pay attention, which is generally a neutral to slightly positive sentiment, urging awareness."
7,τί ἀκούετε. ἐν ᾧ μέτρῳ μετρεῖτε μετρηθήσεται ὑμῖν καὶ,"what you hear. With the measure you use, it will be measured to you, and",0.2,65,"This segment speaks of reciprocity, suggesting that actions have consequences. It has a slightly positive sentiment due to the implication of fairness."
8,"προστεθήσεται ὑμῖν.  ὃς γὰρ ἔχει, δοθήσεται αὐτῷ· καὶ ὃς","still more will be added to you. For whoever has, more will be given to him, and whoever",0.4,75,"This segment describes abundance and reward for those who possess, which carries a positive sentiment of prosperity and growth."
9,"οὐκ ἔχει, καὶ ὃ ἔχει ἀρθήσεται ἀπʼ αὐτοῦ.  Καὶ","does not have, even what he has will be taken away from him.""",-0.5,80,"This segment describes loss and deprivation for those who lack, which carries a negative sentiment of hardship and injustice."
10,ἔλεγεν Οὕτως ἐστὶν ἡ βασιλεία τοῦ θεοῦ ὡς ἄνθρωπος,"He went on to say, ""This is what the kingdom of God is like. A man",0.2,65,"This segment introduces a comparison to the kingdom of God, which generally carries a positive connotation of hope and divine favor."
1,βάλῃ τὸν σπόρον ἐπὶ τῆς γῆς  καὶ καθεύδῃ καὶ ἐγείρηται,"He casts the seed on the earth, and sleeps and rises",0.6,80,"This segment describes the simple act of sowing seeds and the natural cycle of rest and awakening, suggesting a positive and hopeful outlook related to growth and potential."
2,"νύκτα καὶ ἡμέραν, καὶ ὁ σπόρος βλαστᾷ καὶ μηκύνηται ὡς","night and day, and the seed sprouts and grows longer as",0.7,85,"This segment focuses on the growth of the seed, emphasizing the continuous and natural process of development. The imagery evokes a sense of progress and positive transformation."
3,"οὐκ οἶδεν αὐτός.  αὐτομάτη ἡ γῆ καρποφορεῖ, πρῶτον","he does not know. The earth produces fruit by itself, first",0.8,90,"This segment highlights the inherent ability of the earth to produce fruit without human intervention, suggesting a sense of wonder and appreciation for the natural world and its autonomous processes."
4,"χόρτον, εἶτεν στάχυν, εἶτεν πλήρη σῖτον ἐν τῷ στάχυϊ.  ὅταν δε παραδοῖ ὁ καρπός, εὐθὺς ἀποστέλλει τὸ δρέπανον, ὅτι παρέστηκεν ὁ θερισμός.  Καὶ","grass, then head, then full grain in the head. But when the grain permits, immediately he sends the sickle, because the harvest has come. And",0.7,85,"This segment describes the progression of growth from grass to full grain, culminating in the harvest. It conveys a sense of fulfillment and the reward of labor, with a positive outlook on the cycle of life."
5,"ἔλεγεν Πῶς ὁμοιώσωμεν τὴν βασιλείαν τοῦ θεοῦ, ἢ ἐν","He said, ""How shall we liken the kingdom of God? Or with",0.6,80,"This segment introduces a question about how to compare the kingdom of God, suggesting a sense of reverence and a desire to understand divine concepts. The tone is inquisitive and hopeful."
6,"τίνι αὐτὴν παραβολῇ θῶμεν;  ὡς κόκκῳ σινάπεως,","what parable shall we set it forth? Like a grain of mustard seed,",0.7,85,"This segment continues the question of comparison, introducing the image of a mustard seed. The mustard seed is often used as a symbol of growth and potential, suggesting a positive and hopeful message."
7,"ὃς ὅταν σπαρῇ ἐπὶ τῆς γῆς, μικρότερον ὂν πάντων τῶν σπερμάτων","which, when it is sown on the earth, though it is less than all the seeds",0.6,80,"This segment describes the smallness of the mustard seed, emphasizing its humble beginnings. However, it sets the stage for its subsequent growth, suggesting a positive message of potential and transformation."
8,"τῶν ἐπὶ τῆς γῆς —  καὶ ὅταν σπαρῇ,","that are on the earth—and when it is sown,",0.5,75,"This segment continues to describe the mustard seed and its sowing, reinforcing the idea of potential and growth. The tone is neutral but anticipatory."
9,ἀναβαίνει καὶ γίνεται,it grows up and becomes,0.7,85,"This segment highlights the growth of the mustard seed, emphasizing its upward trajectory and transformation. The imagery evokes a sense of progress and positive development."
10,"μεῖζον πάντων τῶν λαχάνων καὶ ποιεῖ κλάδους μεγάλους,","greater than all the herbs and puts out large branches,",0.8,90,"This segment describes the final stage of growth, where the mustard seed becomes a large plant with branches. It conveys a sense of fulfillment and abundance, with a positive outlook on the transformative power of nature."
1,ὥστε δύνασθαι ὑπὸ τὴν σκιὰν αὐτοῦ τὰ πετεινὰ τοῦ οὐρανοῦ κατασκηνοῖν.  Καὶ τοιαύταις παραβολαῖς,so that the birds of the sky could nest under its shade. And with such parables,0.6,70,"The segment describes a large entity providing shelter, suggesting a positive and protective image. The mention of parables also hints at wisdom and guidance."
2,"πολλαῖς ἐλάλει αὐτοῖς τὸν λόγον, καθὼς ἠδύναντο","He spoke the word to them with many parables, as they were able",0.3,65,"The segment describes someone speaking to others in a way they can understand, suggesting a positive intention to communicate effectively. The use of parables implies teaching and guidance."
3,"ἀκούειν·  χωρὶς δὲ παραβολῆς οὐκ ἐλάλει αὐτοῖς,","to hear; and without a parable He did not speak to them,",0.1,55,"The segment describes a method of communication, specifically the use of parables. While not strongly positive or negative, it suggests a deliberate and thoughtful approach to teaching."
4,κατʼ ἰδίαν  δὲ τοῖς ἰδίοις μαθηταῖς ἐπέλυεν πάντα.  Καὶ λέγει αὐτοῖς ἐν ἐκείνῃ τῇ ἡμέρᾳ ὀψίας γενομένης,"but privately He explained everything to His own disciples. And He said to them on that day, when evening had come,",0.4,70,"The segment describes private instruction and explanation to disciples, suggesting a positive relationship and the imparting of knowledge. The phrase ""explained everything"" implies clarity and understanding."
5,Διέλθωμεν εἰς τὸ πέραν.  καὶ ἀφέντες τὸν ὄχλον παραλαμβάνουσιν,"Let us go over to the other side. And leaving the crowd, they took",0.1,50,"The segment describes a transition and departure. It is relatively neutral in sentiment, simply stating a movement from one place to another."
6,"αὐτὸν ὡς ἦν ἐν τῷ πλοίῳ, καὶ ἄλλα πλοῖα ἦν","Him along, as He was, in the boat, and other boats were",0.0,50,This segment is descriptive and neutral. It simply states the presence of people in boats.
7,"μετʼ αὐτοῦ.  καὶ γίνεται λαῖλαψ μεγάλη ἀνέμου, καὶ τὰ","with Him. And a great windstorm arose, and the",-0.7,80,"The segment describes a ""great windstorm,"" which is a negative event causing disruption and potential danger."
8,"κύματα ἐπέβαλλεν εἰς τὸ πλοῖον, ὥστε ἤδη γεμίζεσθαι τὸ","waves were breaking into the boat, so that the boat was already filling up.",-0.8,85,"The segment describes a boat filling with water due to waves, indicating a dangerous and negative situation."
9,πλοῖον.  καὶ αὐτὸς ἦν ἐν τῇ πρύμνῃ ἐπὶ τὸ προσκεφάλαιον,"boat. And He was in the stern, asleep on the cushion.",-0.2,60,"The segment describes someone asleep during a storm, which could be interpreted as either peaceful or concerning, depending on the context. The negative leaning comes from the implied danger of the storm mentioned in previous segments."
10,"καθεύδων· καὶ ἐγείρουσιν αὐτὸν καὶ λέγουσιν αὐτῷ Διδάσκαλε,","sleeping; and they woke Him and said to Him, ""Teacher,""",-0.3,65,"The segment describes someone being woken up, implying a disturbance and potential distress. The context of the storm adds to the negative sentiment."
1,οὐ μέλει σοι ὅτι ἀπολλύμεθα;  καὶ διεγερθεὶς ἐπετίμησεν,"Do you not care that we are perishing? And having been awakened, he rebuked",-0.4,80,"The segment expresses distress and fear of perishing, indicating a negative sentiment. The rebuke suggests a response to a negative situation."
2,"τῷ ἀνέμῳ καὶ εἶπεν τῇ θαλάσσῃ Σιώπα, πεφίμωσο.","the wind and said to the sea, ""Peace! Be still!""",0.2,75,"The segment describes an act of calming a storm, which can be interpreted as a positive action, restoring order. The command ""Peace! Be still!"" suggests authority and control."
3,"καὶ ἐκόπασεν ὁ ἄνεμος, καὶ ἐγένετο γαλήνη μεγάλη.  καὶ","And the wind ceased, and there was a great calm. And",0.6,90,"The segment describes the cessation of a storm and the arrival of great calm, indicating a positive resolution and peaceful outcome."
4,εἶπεν αὐτοῖς Τί δειλοί ἐστε; οὔπω ἔχετε πίστιν;  καὶ ἐφοβήθησαν,"He said to them, ""Why are you so afraid? Have you still no faith?"" And they were terrified",-0.5,85,"The segment expresses a rebuke for fear and lack of faith, followed by a description of terror. The combination of rebuke and terror indicates a negative sentiment."
5,"φόβον μέγαν, καὶ ἔλεγον πρὸς ἀλλήλους Τίς","great fear, and they said to one another, ""Who",-0.7,95,"The segment explicitly mentions ""great fear,"" indicating a strong negative sentiment."
6,ἄρα οὗτός ἐστιν ὅτι καὶ ὁ ἄνεμος καὶ ἡ θάλασσα ὑπακούει αὐτῷ;  Καὶ ἦλθον εἰς τὸ πέραν τῆς θαλάσσης,"then is this, that even the wind and the sea obey him? And they came to the other side of the sea",0.3,70,"The segment expresses awe and wonder at the power displayed, suggesting a positive sentiment mixed with uncertainty. The arrival at the other side of the sea implies a journey's end."
7,εἰς τὴν χώραν τῶν Γερασηνῶν.  καὶ ἐξελθόντος αὐτοῦ ἐκ,to the country of the Gerasenes. And when he had come out of,0.0,50,"This segment is a statement of location and a transition, lacking strong emotional indicators. Therefore, the sentiment is neutral."
8,τοῦ πλοίου [εὐθὺς] ὑπήντησεν αὐτῷ ἐκ τῶν μνημείων,"the boat, immediately there met him out of the tombs",-0.2,65,"The segment describes meeting someone from the tombs, which can evoke a sense of unease or negativity due to the association with death and the unknown."
9,"ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ,  ὃς τὴν κατοίκησιν εἶχεν","a man with an unclean spirit, who had his dwelling",-0.6,80,"The segment describes a man with an ""unclean spirit,"" which is a negative descriptor. This suggests a negative sentiment associated with the man's condition."
10,"ἐν τοῖς μνήμασιν, καὶ οὐδὲ ἁλύσει οὐκέτι οὐδεὶς ἐδύνατο","among the tombs, and no one could bind him anymore, not even with a chain,",-0.4,75,"The segment describes someone living among tombs and being uncontrollable, even by chains. This evokes a sense of danger, isolation, and negativity."
1,αὐτὸν δῆσαι  διὰ τὸ αὐτὸν πολλάκις πέδαις καὶ ἁλύσεσι,"to bind him, because he had often been bound with shackles and chains,",-0.3,70,"The segment describes the act of binding someone, suggesting a negative situation or struggle."
2,δεδέσθαι καὶ διεσπάσθαι ὑπʼ αὐτοῦ τὰς ἁλύσεις καὶ τὰς,"and the chains had been torn apart by him, and the",-0.5,80,"This segment describes the violent act of tearing apart chains, indicating distress and a struggle against restraint."
3,"πέδας συντετρίφθαι, καὶ οὐδεὶς ἴσχυεν αὐτὸν δαμάσαι·  καὶ",shackles broken in pieces; and no one was able to subdue him.,-0.6,85,"The segment describes broken shackles and the inability to subdue someone, suggesting a negative and chaotic situation."
4,διὰ παντὸς νυκτὸς καὶ ἡμέρας ἐν τοῖς μνήμασιν καὶ ἐν τοῖς,"And continually, night and day, he was in the tombs and in the",-0.4,75,"The segment describes someone dwelling in tombs, which is generally associated with negativity, death, and isolation."
5,ὄρεσιν ἦν κράζων καὶ κατακόπτων ἑαυτὸν λίθοις.  καὶ ἰδὼν,"mountains, crying out and cutting himself with stones. And seeing",-0.8,90,"This segment describes self-harm and distress, indicating a very negative emotional state."
6,"τὸν Ἰησοῦν ἀπὸ μακρόθεν ἔδραμεν καὶ προσεκύνησεν αὐτόν,  καὶ κράξας φωνῇ μεγάλῃ λέγει Τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ","Jesus from afar, he ran and worshiped Him. And crying out with a loud voice, he said, ""What have I to do with You, Jesus, Son",0.2,65,"The segment describes worship, which can be seen as positive, but also includes a question that suggests conflict or apprehension."
7,"τοῦ θεοῦ τοῦ ὑψίστου; ὁρκίζω σε τὸν θεόν, μή με βασανίσῃς.  ἔλεγεν γὰρ αὐτῷ Ἔξελθε τὸ πνεῦμα τὸ ἀκάθαρτον","of the Most High God? I implore You by God that You do not torment me."" For He said to him, ""Come out, unclean spirit,",-0.6,80,"The segment expresses fear of torment and the presence of an unclean spirit, indicating a negative and distressing situation."
8,ἐκ τοῦ ἀνθρώπου.  καὶ ἐπηρώτα αὐτόν Τί ὄνομά σοι; καὶ,"out of the man!"" And He asked him, ""What is your name?"" And",0.0,50,"This segment is neutral, as it is simply a question about someone's name."
9,"λέγει αὐτῷ Λεγιὼν ὄνομά μοι,","he answered, saying, ""My name is Legion;",-0.3,60,"The name ""Legion"" can be associated with a large, potentially threatening force, giving it a slightly negative connotation."
10,ὅτι πολλοί ἐσμεν·  καὶ,"for we are many.""",-0.4,65,"The statement ""we are many"" from the entity named Legion reinforces the idea of a potentially overwhelming and negative force."
1,παρεκάλει αὐτὸν πολλὰ ἵνα μὴ αὐτὰ ἀποστείλῃ ἔξω τῆς,And begged Him earnestly that He would not send them away out of the,-0.2,70,"This segment describes a plea or request to avoid something, suggesting a negative sentiment due to the desire to prevent an action."
2,"χώρας.  Ἦν δὲ ἐκεῖ πρὸς τῷ ὄρει ἀγέλη χοίρων μεγάλη βοσκομένη·  καὶ παρεκάλεσαν αὐτὸν λέγοντες Πέμψον  ἡμᾶς εἰς τοὺς χοίρους, ἵνα εἰς αὐτοὺς εἰσέλθωμεν.  καὶ ἐπέτρεψεν","country. Now a large herd of swine was feeding there near the mountains. So they begged Him, saying, ""Send us to the swine, that we may enter them."" And He gave them permission.",-0.3,75,"This segment involves a request from unclean spirits to enter swine, which leads to a destructive event in later segments. The initial request and the presence of unclean spirits suggest a negative sentiment."
3,αὐτοῖς. καὶ ἐξελθόντα τὰ πνεύματα τὰ ἀκάθαρτα,them. And when the unclean spirits had gone out,-0.6,80,"The mention of ""unclean spirits"" directly indicates a negative sentiment. The departure of these spirits might suggest a slight positive shift, but the overall tone remains negative."
4,"εἰσῆλθον εἰς τοὺς χοίρους, καὶ ὥρμησεν ἡ ἀγέλη κατὰ τοῦ",they went into the swine. Then the herd ran violently down the,-0.7,85,The entry of the unclean spirits into the swine and the subsequent violent action of the herd indicate a strong negative sentiment due to the destructive consequences.
5,"κρημνοῦ εἰς τὴν θάλασσαν, ὡς δισχίλιοι, καὶ ἐπνίγοντο ἐν",steep place into the sea (there were about two thousand); and they drowned in,-0.9,90,"The drowning of a large number of swine is a clearly negative event, indicating loss and destruction. The high number emphasizes the severity of the event."
6,τῇ θαλάσσῃ.  Καὶ οἱ βόσκοντες αὐτοὺς ἔφυγον καὶ ἀπήγγειλαν,the sea. So those who fed the swine fled and told it,-0.4,75,The flight of the swineherds suggests fear and a negative reaction to the preceding events. The act of reporting the incident implies a significant and likely negative occurrence.
7,εἰς τὴν πόλιν καὶ εἰς τοὺς ἀγρούς· καὶ ἦλθον ἰδεῖν,in the city and in the country. And they went out to see,0.0,60,"This segment is neutral. It describes people going to see what happened, without expressing any particular emotion or judgment."
8,"τί ἐστιν τὸ γεγονός.  καὶ ἔρχονται πρὸς τὸν Ἰησοῦν, καὶ","what it was that had happened. Then they came to Jesus, and",0.1,65,"The segment is slightly positive due to the people seeking Jesus, which implies a hope for resolution or help. However, the overall sentiment is still relatively neutral."
9,θεωροῦσιν τὸν δαιμονιζόμενον καθήμενον ἱματισμένον καὶ,"saw the one who had been demon-possessed and had the legion, sitting and clothed and",0.4,75,"This segment is moderately positive. The formerly demon-possessed man is now described as sitting and clothed, suggesting a restoration of order and well-being."
10,"σωφρονοῦντα, τὸν ἐσχηκότα τὸν λεγιῶνα, καὶ ἐφοβήθησαν.  καὶ διηγήσαντο αὐτοῖς οἱ ἰδόντες πῶς ἐγένετο τῷ δαιμονιζομένῳ",in his right mind. And they were afraid. And those who saw it told them how it happened to him who had been demon-possessed.,-0.3,70,"The segment contains mixed sentiments. The man being in his right mind is positive, but the people's fear introduces a negative element. The overall sentiment leans slightly negative due to the fear response."
1,καὶ περὶ τῶν χοίρων.  καὶ ἤρξαντο παρακαλεῖν,"And concerning the pigs, they began to plead",-0.2,60,"The segment describes a plea, which can imply a negative situation or request for help. The mention of pigs doesn't inherently carry strong sentiment."
2,αὐτὸν ἀπελθεῖν ἀπὸ τῶν ὁρίων αὐτῶν.  Καὶ ἐμβαίνοντος,him to depart from their region. And as he was getting into,-0.1,55,"Asking someone to depart can indicate discomfort or a negative interaction, but it's not strongly negative. The act of getting into something is neutral."
3,αὐτοῦ εἰς τὸ πλοῖον παρεκάλει αὐτὸν ὁ δαιμονισθεὶς ἵνα,"the boat, the demon-possessed man begged him that",-0.3,70,"The presence of a ""demon-possessed"" man and the act of begging suggest a negative or troubled situation."
4,"μετʼ αὐτοῦ ᾖ.  καὶ οὐκ ἀφῆκεν αὐτόν, ἀλλὰ λέγει αὐτῷ","he might be with him. And he did not allow him, but says to him",-0.1,65,"The man's desire to be with him suggests a need or dependence, and the refusal implies a slight negative tone."
5,"Ὕπαγε εἰς τὸν οἶκόν σου πρὸς τοὺς σούς, καὶ ἀπάγγειλον","Go to your home to your own people, and report",0.2,60,"Being told to go home and report something is generally neutral, but can be seen as slightly positive as it implies a purpose and connection."
6,αὐτοῖς ὅσα ὁ κύριός σοι πεποίηκεν καὶ ἠλέησέν σε.  καὶ,to them how much the Lord has done for you and has had mercy on you. And,0.7,85,"The phrases ""has done for you"" and ""has had mercy on you"" strongly indicate positive sentiment and divine favor."
7,ἀπῆλθεν καὶ ἤρξατο κηρύσσειν ἐν τῇ Δεκαπόλει ὅσα ἐποίησεν,he went away and began to proclaim in the Decapolis how much Jesus had done,0.4,75,"Proclaiming good deeds is generally positive, suggesting a message of hope or gratitude. The mention of Jesus adds a positive religious connotation."
8,"αὐτῷ ὁ Ἰησοῦς, καὶ πάντες ἐθαύμαζον.  Καὶ διαπεράσαντος τοῦ Ἰησοῦ ἐν τῷ πλοίῳ πάλιν εἰς","for him Jesus, and all were amazed. And when Jesus had crossed over again in the boat to",0.5,80,"People being amazed is generally positive, suggesting wonder and awe. The continued presence of Jesus reinforces a positive religious context."
9,"τὸ πέραν συνήχθη ὄχλος πολὺς ἐπʼ αὐτόν, καὶ ἦν παρὰ τὴν","the other side, a large crowd gathered to him, and he was by the",0.2,65,"A large crowd gathering suggests popularity or interest, which is mildly positive. Being by the sea is neutral."
10,"θάλασσαν.  Καὶ ἔρχεται εἷς τῶν ἀρχισυναγώγων, ὀνόματι","sea. And one of the rulers of the synagogue comes, named",0.1,50,"The arrival of a ruler of the synagogue is relatively neutral, though it could imply importance or authority. The mention of a name is neutral."
1,"Ἰάειρος,  καὶ ἰδὼν αὐτὸν πίπτει πρὸς τοὺς πόδας αὐτοῦ καὶ","And Jairus, when he saw him, fell at his feet and",0.0,60,"This segment is neutral, simply describing an action without expressing strong emotion."
2,παρακαλεῖ αὐτὸν πολλὰ λέγων ὅτι Τὸ θυγάτριόν μου,"begged him earnestly, saying, ""My little daughter",-0.2,70,"This segment expresses a plea, suggesting a sense of desperation or worry."
3,"ἐσχάτως ἔχει, ἵνα ἐλθὼν ἐπιθῇς τὰς χεῖρας αὐτῇ ἵνα σωθῇ","is at the point of death. Come and lay your hands on her, so that she may be made well",0.3,75,"This segment contains a plea for healing, indicating hope and a desire for a positive outcome."
4,καὶ ζήσῃ.  καὶ ἀπῆλθεν μετʼ αὐτοῦ. Καὶ ἠκολούθει αὐτῷ,"and live."" And he went away with him. And a large crowd followed him",0.1,65,"This segment is slightly positive due to the hope for life, but mostly descriptive."
5,"ὄχλος πολύς, καὶ συνέθλιβον αὐτόν.  καὶ γυνὴ οὖσα ἐν ῥύσει αἵματος δώδεκα ἔτη  καὶ πολλὰ παθοῦσα ὑπὸ πολλῶν","and thronged him. And there was a woman who had had a discharge of blood for twelve years, and who had suffered much under many",-0.5,80,"This segment describes suffering and a chronic illness, indicating a negative sentiment."
6,ἰατρῶν καὶ δαπανήσασα τὰ παρʼ αὐτῆς πάντα καὶ μηδὲν,"physicians, and had spent all that she had, and was no better",-0.6,85,"This segment highlights the woman's financial and physical struggles, conveying a strong negative sentiment."
7,"ὠφεληθεῖσα ἀλλὰ μᾶλλον εἰς τὸ χεῖρον ἐλθοῦσα,  ἀκούσασα",but rather grew worse. She had heard,-0.4,75,"The phrase ""grew worse"" clearly indicates a negative sentiment."
8,"τὰ περὶ τοῦ Ἰησοῦ, ἐλθοῦσα ἐν τῷ ὄχλῳ ὄπισθεν",the reports about Jesus and came up behind him in the crowd,0.1,60,"This segment is slightly positive due to the implied hope associated with Jesus, but is mostly descriptive."
9,ἥψατο τοῦ ἱματίου αὐτοῦ·  ἔλεγεν γὰρ ὅτι Ἐὰν ἅψωμαι,"and touched his garment, for she said, ""If I touch",0.2,70,"This segment expresses hope and belief in healing power, indicating a positive sentiment."
10,κἂν τῶν ἱματίων αὐτοῦ σωθήσομαι.  καὶ εὐθὺς ἐξηράνθη,"even his garments, I will be made well."" And immediately the flow of blood dried up.",0.7,85,This segment expresses a strong positive sentiment due to the healing and the belief in being made well.
1,"ἡ πηγὴ τοῦ αἵματος αὐτῆς, καὶ ἔγνω τῷ σώματι ὅτι ἴαται  ἀπὸ τῆς μάστιγος.  καὶ εὐθὺς ὁ Ἰησοῦς ἐπιγνοὺς ἐν ἑαυτῷ","the source of her blood, and she knew in her body that she was healed of the affliction. And immediately Jesus, perceiving in himself",0.8,90,"This segment describes healing and positive recognition, indicating a strong positive sentiment."
2,τὴν ἐξ αὐτοῦ δύναμιν ἐξελθοῦσαν ἐπιστραφεὶς ἐν τῷ ὄχλῳ,"the power that had gone out from him, turning around in the crowd",0.3,70,"This segment describes power emanating from Jesus, which carries a slightly positive sentiment due to the implication of divine ability."
3,ἔλεγεν Τίς μου ἥψατο τῶν ἱματίων;  καὶ ἔλεγον αὐτῷ οἱ,"said, ""Who touched my clothes?"" And his",-0.1,60,"This segment expresses a question and a sense of inquiry, which is neutral but slightly negative due to the potential for concern or intrusion."
4,"μαθηταὶ αὐτοῦ Βλέπεις τὸν ὄχλον συνθλίβοντά σε, καὶ","disciples said to him, ""You see the crowd pressing around you, and",-0.2,70,"This segment describes a crowd pressing around, which can be interpreted as slightly negative due to the potential for discomfort or danger."
5,λέγεις Τίς μου ἥψατο;  καὶ περιεβλέπετο ἰδεῖν τὴν τοῦτο,"you say, 'Who touched me?'"" And he looked around to see the one who had done this.",-0.1,65,"This segment expresses a continued inquiry and a search for someone, which carries a slightly negative sentiment due to the uncertainty and potential for confrontation."
6,"ποιήσασαν.  ἡ δὲ γυνὴ φοβηθεῖσα καὶ τρέμουσα, εἰδυῖα","The woman, fearing and trembling, knowing",-0.7,85,"This segment describes fear and trembling, indicating a strong negative sentiment."
7,"ὃ γέγονεν αὐτῇ, ἦλθεν καὶ προσέπεσεν αὐτῷ καὶ εἶπεν","what had happened to her, came and fell down before him and said",-0.3,75,"This segment describes someone falling down before another, which can be interpreted as a sign of desperation or humility, carrying a slightly negative sentiment."
8,"αὐτῷ πᾶσαν τὴν ἀλήθειαν.  ὁ δὲ εἶπεν αὐτῇ Θυγάτηρ,","to him the whole truth. And he said to her, ""Daughter,",0.2,65,"This segment describes someone telling the truth and being addressed as ""daughter"", which carries a slightly positive sentiment due to the implication of honesty and affection."
9,"ἡ πίστις σου σέσωκέν σε· ὕπαγε εἰς εἰρήνην, καὶ ἴσθι","your faith has made you well; go in peace, and be",0.9,95,"This segment expresses faith, healing, and peace, indicating a very strong positive sentiment."
